timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1756193670892,5,GET  /characters ,200,OK,"Thread Group users 100, Ramp up 1, Loop count 1 1-1",text,true,,340,127,1,1,http://localhost:3001/characters,5,0,2
1756193670898,3,POST /character ,201,Created,"Thread Group users 100, Ramp up 1, Loop count 1 1-1",text,true,,275,219,2,2,http://localhost:3001/character,3,0,0
1756193670903,2,GET  /character/id ,200,OK,"Thread Group users 100, Ramp up 1, Loop count 1 1-1",text,true,,270,128,2,2,http://localhost:3001/character/4,2,0,0
1756193670902,5,GET  /characters ,200,OK,"Thread Group users 100, Ramp up 1, Loop count 1 1-2",text,true,,376,127,2,2,http://localhost:3001/characters,5,0,1
1756193670906,2,PUT /character/id ,200,OK,"Thread Group users 100, Ramp up 1, Loop count 1 1-1",text,true,,267,217,2,2,http://localhost:3001/character/4,2,0,0
1756193670908,3,POST /character ,201,Created,"Thread Group users 100, Ramp up 1, Loop count 1 1-2",text,true,,276,220,3,3,http://localhost:3001/character,3,0,0
1756193670909,4,DELETE /character/id ,200,OK,"Thread Group users 100, Ramp up 1, Loop count 1 1-1",text,true,,293,214,3,3,http://localhost:3001/character/4,4,0,0
1756193670913,3,GET  /character/id ,200,OK,"Thread Group users 100, Ramp up 1, Loop count 1 1-2",text,true,,271,128,2,2,http://localhost:3001/character/5,3,0,0
1756193670914,4,GET  /characters ,200,OK,"Thread Group users 100, Ramp up 1, Loop count 1 1-3",text,true,,377,127,2,2,http://localhost:3001/characters,4,0,1
1756193670917,2,PUT /character/id ,200,OK,"Thread Group users 100, Ramp up 1, Loop count 1 1-2",text,true,,267,217,2,2,http://localhost:3001/character/5,2,0,0
1756193670918,2,POST /character ,201,Created,"Thread Group users 100, Ramp up 1, Loop count 1 1-3",text,true,,277,221,2,2,http://localhost:3001/character,2,0,0
1756193670922,2,GET  /character/id ,200,OK,"Thread Group users 100, Ramp up 1, Loop count 1 1-3",text,true,,272,128,3,3,http://localhost:3001/character/5,2,0,0
1756193670921,3,DELETE /character/id ,200,OK,"Thread Group users 100, Ramp up 1, Loop count 1 1-2",text,true,,293,214,3,3,http://localhost:3001/character/5,3,0,0
1756193670923,2,GET  /characters ,200,OK,"Thread Group users 100, Ramp up 1, Loop count 1 1-4",text,true,,378,127,3,3,http://localhost:3001/characters,2,0,1
1756193670926,3,POST /character ,201,Created,"Thread Group users 100, Ramp up 1, Loop count 1 1-4",text,true,,276,220,2,2,http://localhost:3001/character,3,0,0
1756193670926,6,PUT /character/id ,200,OK,"Thread Group users 100, Ramp up 1, Loop count 1 1-3",text,true,,267,217,3,3,http://localhost:3001/character/5,6,0,0
1756193670931,2,GET  /character/id ,200,OK,"Thread Group users 100, Ramp up 1, Loop count 1 1-4",text,true,,267,128,3,3,http://localhost:3001/character/5,2,0,0
